Goan,26,Amla Juice (1 glass),Brown Rice Poha (1 cup) with Sprouts,Handful of Berries,Brown Rice (1 cup) + Goan Veg Curry (using low-carb veggies),Handful of Peanuts,Herbal Tea (1 cup),Whole Wheat Roti (2) + Lobia (Black-eyed Peas) Curry (Tomato base)
Goan,27,Ginger & Turmeric Water (1 glass),Ragi Idli (2) with Tomato Chutney,Pear,Whole Wheat Roti (2) + Mix Dal + Drumstick (Moringa) Stir Fry,Sprouted Chana Salad (1 cup),Coconut Water (1 glass),Steamed Fish (Pomfret/Mackerel) with Salad
Goan,28,Warm Water with Lemon (1 glass),Scrambled Tofu/Paneer with Whole Wheat Toast (1 slice),1 Guava,Brown Rice (1 cup) + Fish Udid Methi (Light Fish Curry with Fenugreek),Roasted Almonds,Green Tea (1 cup),Veg Kismoor (Lentil/Bean adaptation) with Whole Wheat Poli (1)
Goan,29,Cinnamon Water (1 glass),"Nachni Satv (Ragi Porridge, unsweetened)",Apple slices,"Red Rice (1 cup) + Mixed Veg Sukhem (Dry Vegetable Curry, low oil)",Handful of Walnuts,Buttermilk (1 glass),Whole Wheat Roti (2) + Masoor Dal Varan (Plain Dal)
Goan,30,Methi (Fenugreek) Water (1 glass),Moong Dal Chilla (2) with Mint Chutney,Handful of Almonds,Brown Rice (1 cup) + Goan Fish Curry (light coconut/tomato base),Roasted Makhana (1 cup),Coconut Water (1 glass),Grilled Paneer/Tofu with Capsicum & Onion
Gujarati,1,Methi (Fenugreek) Water (1 glass),"Methi Thepla (2, whole wheat) with Curd (low-fat)",1 Guava,Jowar Roti (2) + Green Moong Dal Curry (1 cup) + Cabbage Sabzi,Handful of Roasted Peanuts,Buttermilk (1 glass),"Oats Handvo (2 pieces, steamed) with Mixed Veg Sambhar"
Gujarati,2,Bitter Gourd Juice (1 glass),"Moong Dal Dhokla (3 pieces, steamed) with Mint Chutney",Apple Slices,"Brown Rice (1 cup) + Gujarati Dal (Unsweetened, 1 cup) + Tindora (Ivy Gourd) Sabzi",Sprouted Matki (Moth Bean) Salad (1 cup),Green Tea (1 cup),"Whole Wheat Roti (2) + Bhinda Masala (Okra, less oil)"
Gujarati,3,Warm Water with Lemon (1 glass),Oats Porridge (1 cup) with Nuts,Handful of Almonds & Walnuts,"Bajra Roti (2) + Chana Masala (Kathol, 1 cup) + Palak (Spinach) Sabzi",Roasted Makhana (1 cup),Amla Juice (1 glass),Vegetable Dalia Khichdi (1 cup) with Curd
Gujarati,4,Cinnamon Water (1 glass),"Khandvi (4 pieces, minimal oil) with Green Chutney",Mixed Berries (1 cup),Brown Rice Khichdi (1 cup) + Plain Curd (1 cup) + Salad,Roasted Chana (1 cup),Buttermilk (1 glass),Jowar Roti (2) + Lobia/Chawli (Black-eyed Peas) Curry
Gujarati,5,Amla Juice (1 glass),"Besan Pudla (Cheela, 2) with Paneer filling",1 Pear,Whole Wheat Roti (2) + Masoor Dal (1 cup) + Cluster Bean (Gavar) Sabzi,Sprouted Moong Salad (1 cup),Herbal Tea (1 cup),"Handvo (2 pieces, lentil/millets) with Green Chutney"
Gujarati,6,Methi (Fenugreek) Water (1 glass),"Oats Handvo (2 pieces, steamed) with Green Chutney",1 Orange,Jowar Roti (2) + Adad/Urad Dal (1 cup) + Mixed Vegetable Undhiyu (low-oil version),Handful of Roasted Peanuts,Green Tea (1 cup),Brown Rice Pulao (with lots of veggies) + Curd (low-fat)
Gujarati,7,Bitter Gourd Juice (1 glass),"Moong Dal Dhokla (3 pieces, steamed) with Curd",Apple Slices,"Brown Rice (1 cup) + Gujarati Dal (Unsweetened, 1 cup) + Carrot and Peas Sabzi",Roasted Makhana (1 cup),Buttermilk (1 glass),"Methi Thepla (2, whole wheat) with Light Vegetable Soup"
Gujarati,8,Warm Water with Lemon (1 glass),"Methi Thepla (2, whole wheat) with Curd (low-fat)",1 Guava,Jowar Roti (2) + Green Moong Dal Curry (1 cup) + Cabbage Sabzi,Sprouted Matki (Moth Bean) Salad (1 cup),Amla Juice (1 glass),"Oats Handvo (2 pieces, steamed) with Mixed Veg Sambhar"
Gujarati,9,Cinnamon Water (1 glass),"Moong Dal Dhokla (3 pieces, steamed) with Mint Chutney",Handful of Almonds & Walnuts,"Brown Rice (1 cup) + Chana Masala (Kathol, 1 cup) + Palak (Spinach) Sabzi",Roasted Chana (1 cup),Buttermilk (1 glass),"Whole Wheat Roti (2) + Bhinda Masala (Okra, less oil)"
Gujarati,10,Amla Juice (1 glass),Oats Porridge (1 cup) with Nuts,Mixed Berries (1 cup),Bajra Roti (2) + Lobia/Chawli (Black-eyed Peas) Curry + Tindora (Ivy Gourd) Sabzi,Sprouted Moong Salad (1 cup),Herbal Tea (1 cup),Vegetable Dalia Khichdi (1 cup) with Curd
Gujarati,11,Methi (Fenugreek) Water (1 glass),"Khandvi (4 pieces, minimal oil) with Green Chutney",1 Pear,Brown Rice Khichdi (1 cup) + Plain Curd (1 cup) + Salad,Handful of Roasted Peanuts,Green Tea (1 cup),Jowar Roti (2) + Masoor Dal (1 cup)
Gujarati,12,Bitter Gourd Juice (1 glass),"Besan Pudla (Cheela, 2) with Paneer filling",1 Orange,Whole Wheat Roti (2) + Adad/Urad Dal (1 cup) + Cluster Bean (Gavar) Sabzi,Roasted Makhana (1 cup),Buttermilk (1 glass),"Handvo (2 pieces, lentil/millets) with Green Chutney"
Gujarati,13,Warm Water with Lemon (1 glass),"Oats Handvo (2 pieces, steamed) with Green Chutney",Apple Slices,"Jowar Roti (2) + Gujarati Dal (Unsweetened, 1 cup) + Mixed Vegetable Undhiyu (low-oil version)",Roasted Chana (1 cup),Amla Juice (1 glass),Brown Rice Pulao (with lots of veggies) + Curd (low-fat)
Gujarati,14,Cinnamon Water (1 glass),"Moong Dal Dhokla (3 pieces, steamed) with Curd",1 Guava,Brown Rice (1 cup) + Green Moong Dal Curry (1 cup) + Carrot and Peas Sabzi,Sprouted Matki (Moth Bean) Salad (1 cup),Buttermilk (1 glass),"Methi Thepla (2, whole wheat) with Light Vegetable Soup"
Gujarati,15,Amla Juice (1 glass),"Methi Thepla (2, whole wheat) with Curd (low-fat)",Handful of Almonds & Walnuts,"Jowar Roti (2) + Chana Masala (Kathol, 1 cup) + Cabbage Sabzi",Roasted Makhana (1 cup),Herbal Tea (1 cup),"Oats Handvo (2 pieces, steamed) with Mixed Veg Sambhar"
Gujarati,16,Methi (Fenugreek) Water (1 glass),"Moong Dal Dhokla (3 pieces, steamed) with Mint Chutney",Mixed Berries (1 cup),Brown Rice (1 cup) + Lobia/Chawli (Black-eyed Peas) Curry + Tindora (Ivy Gourd) Sabzi,Handful of Roasted Peanuts,Green Tea (1 cup),"Whole Wheat Roti (2) + Bhinda Masala (Okra, less oil)"
Gujarati,17,Bitter Gourd Juice (1 glass),Oats Porridge (1 cup) with Nuts,1 Pear,Bajra Roti (2) + Masoor Dal (1 cup) + Palak (Spinach) Sabzi,Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Vegetable Dalia Khichdi (1 cup) with Curd
Gujarati,18,Warm Water with Lemon (1 glass),"Khandvi (4 pieces, minimal oil) with Green Chutney",1 Orange,Brown Rice Khichdi (1 cup) + Plain Curd (1 cup) + Salad,Roasted Chana (1 cup),Amla Juice (1 glass),Jowar Roti (2) + Adad/Urad Dal (1 cup)
Gujarati,19,Cinnamon Water (1 glass),"Besan Pudla (Cheela, 2) with Paneer filling",Apple Slices,"Whole Wheat Roti (2) + Gujarati Dal (Unsweetened, 1 cup) + Cluster Bean (Gavar) Sabzi",Sprouted Matki (Moth Bean) Salad (1 cup),Buttermilk (1 glass),"Handvo (2 pieces, lentil/millets) with Green Chutney"
Gujarati,20,Amla Juice (1 glass),"Oats Handvo (2 pieces, steamed) with Green Chutney",1 Guava,Jowar Roti (2) + Green Moong Dal Curry (1 cup) + Mixed Vegetable Undhiyu (low-oil version),Handful of Almonds & Walnuts,Herbal Tea (1 cup),Brown Rice Pulao (with lots of veggies) + Curd (low-fat)
Gujarati,21,Methi (Fenugreek) Water (1 glass),"Moong Dal Dhokla (3 pieces, steamed) with Curd",Mixed Berries (1 cup),"Brown Rice (1 cup) + Chana Masala (Kathol, 1 cup) + Carrot and Peas Sabzi",Roasted Makhana (1 cup),Green Tea (1 cup),"Methi Thepla (2, whole wheat) with Light Vegetable Soup"
Gujarati,22,Bitter Gourd Juice (1 glass),"Methi Thepla (2, whole wheat) with Curd (low-fat)",1 Pear,Bajra Roti (2) + Lobia/Chawli (Black-eyed Peas) Curry + Cabbage Sabzi,Handful of Roasted Peanuts,Buttermilk (1 glass),"Oats Handvo (2 pieces, steamed) with Mixed Veg Sambhar"
Gujarati,23,Warm Water with Lemon (1 glass),Oats Porridge (1 cup) with Nuts,1 Orange,Brown Rice (1 cup) + Masoor Dal (1 cup) + Tindora (Ivy Gourd) Sabzi,Sprouted Moong Salad (1 cup),Amla Juice (1 glass),"Whole Wheat Roti (2) + Bhinda Masala (Okra, less oil)"
Gujarati,24,Cinnamon Water (1 glass),"Khandvi (4 pieces, minimal oil) with Green Chutney",Apple Slices,Whole Wheat Roti (2) + Adad/Urad Dal (1 cup) + Palak (Spinach) Sabzi,Roasted Chana (1 cup),Buttermilk (1 glass),Vegetable Dalia Khichdi (1 cup) with Curd
Gujarati,25,Amla Juice (1 glass),"Besan Pudla (Cheela, 2) with Paneer filling",1 Guava,Brown Rice Khichdi (1 cup) + Plain Curd (1 cup) + Salad,Sprouted Matki (Moth Bean) Salad (1 cup),Herbal Tea (1 cup),Jowar Roti (2) + Lobia/Chawli (Black-eyed Peas) Curry
Gujarati,26,Methi (Fenugreek) Water (1 glass),"Oats Handvo (2 pieces, steamed) with Green Chutney",Handful of Almonds & Walnuts,"Jowar Roti (2) + Gujarati Dal (Unsweetened, 1 cup) + Cluster Bean (Gavar) Sabzi",Roasted Makhana (1 cup),Green Tea (1 cup),"Handvo (2 pieces, lentil/millets) with Green Chutney"
Gujarati,27,Bitter Gourd Juice (1 glass),"Moong Dal Dhokla (3 pieces, steamed) with Green Chutney",Mixed Berries (1 cup),Brown Rice (1 cup) + Green Moong Dal Curry (1 cup) + Mixed Vegetable Undhiyu (low-oil version),Handful of Roasted Peanuts,Buttermilk (1 glass),Brown Rice Pulao (with lots of veggies) + Curd (low-fat)
Gujarati,28,Warm Water with Lemon (1 glass),"Methi Thepla (2, whole wheat) with Curd (low-fat)",1 Pear,"Bajra Roti (2) + Chana Masala (Kathol, 1 cup) + Carrot and Peas Sabzi",Sprouted Moong Salad (1 cup),Amla Juice (1 glass),"Methi Thepla (2, whole wheat) with Light Vegetable Soup"
Gujarati,29,Cinnamon Water (1 glass),Oats Porridge (1 cup) with Nuts,1 Orange,Brown Rice (1 cup) + Masoor Dal (1 cup) + Cabbage Sabzi,Roasted Chana (1 cup),Buttermilk (1 glass),"Oats Handvo (2 pieces, steamed) with Mixed Veg Sambhar"
Gujarati,30,Amla Juice (1 glass),"Khandvi (4 pieces, minimal oil) with Green Chutney",Apple Slices,Whole Wheat Roti (2) + Adad/Urad Dal (1 cup) + Tindora (Ivy Gourd) Sabzi,Sprouted Matki (Moth Bean) Salad (1 cup),Herbal Tea (1 cup),"Whole Wheat Roti (2) + Bhinda Masala (Okra, less oil)"
Haryanvi,1,Warm Water with Methi Powder (1 glass),Bajra Roti (2) with Sabut Moong Dal (Whole Green Gram),1 Guava,Missi Roti (2) + Mix Vegetable Sabzi (1 cup),Handful of Walnuts,Buttermilk (Chaas),Vegetable Dalia Khichdi (1 cup)
Haryanvi,2,Cucumber & Mint Water (1 glass),Besan Cheela (2) with Onion/Tomato,Apple Slices,Jowar Roti (2) + Chana Dal (1 cup) + Palak Saag (Spinach),Sprouted Moong Salad,Green Tea,Whole Wheat Roti (2) + Kachri ki Sabzi (Wild Melon)
Haryanvi,3,Warm Water with Cinnamon (1 glass),Oats Porridge (1 cup) with Seeds,Handful of Almonds,"Bajra Roti (2) + Rajma Curry (1 cup, less oil) + Bathua Raita",Roasted Chana,Amla Juice,Moong Dal (1 cup) + Brown Rice (1/2 cup)
Haryanvi,4,Ginger & Turmeric Water (1 glass),Whole Wheat Roti (2) with Curd,Mixed Berries (1 cup),Missi Roti (2) + Lobia (Black-eyed Peas) Curry + Carrot Sabzi,1 Orange,Buttermilk (Chaas),Jowar Roti (2) + Sarson Ka Saag (Mustard Greens)
Haryanvi,5,Warm Water with Methi Powder (1 glass),Bajre ki Khichdi (1 cup) with Curd,1 Pear,Brown Rice (1 cup) + Masoor Dal (1 cup) + Lauki (Bottle Gourd) Sabzi,Handful of Peanuts,Herbal Tea,Besan Masala Roti (2) with Gajar (Carrot) Raita
Haryanvi,6,Cucumber & Mint Water (1 glass),Besan Cheela (2) with Paneer filling,1 Guava,Jowar Roti (2) + Sabut Moong Dal (1 cup) + Mixed Vegetable Sabzi,Roasted Makhana,Green Tea,Bajra Roti (2) + Mixed Dal (1 cup)
Haryanvi,7,Warm Water with Cinnamon (1 glass),Oats Idli (2) with Sambhar,Apple Slices,Whole Wheat Roti (2) + Chana Dal (1 cup) + Bathua Saag,Sprouted Chana Salad,Buttermilk (Chaas),Vegetable Dalia Khichdi (1 cup)
Haryanvi,8,Ginger & Turmeric Water (1 glass),Bajra Roti (2) with Sabut Moong Dal,Handful of Walnuts,Missi Roti (2) + Mix Vegetable Sabzi (1 cup),Roasted Chana,Amla Juice,Whole Wheat Roti (2) + Kachri ki Sabzi
Haryanvi,9,Warm Water with Methi Powder (1 glass),Besan Cheela (2) with Onion/Tomato,Mixed Berries (1 cup),Jowar Roti (2) + Chana Dal (1 cup) + Palak Saag (Spinach),1 Orange,Buttermilk (Chaas),Moong Dal (1 cup) + Brown Rice (1/2 cup)
Haryanvi,10,Cucumber & Mint Water (1 glass),Oats Porridge (1 cup) with Seeds,1 Pear,"Bajra Roti (2) + Rajma Curry (1 cup, less oil) + Bathua Raita",Handful of Almonds,Green Tea,Jowar Roti (2) + Sarson Ka Saag (Mustard Greens)
Haryanvi,11,Warm Water with Cinnamon (1 glass),Whole Wheat Roti (2) with Curd,1 Guava,Missi Roti (2) + Lobia (Black-eyed Peas) Curry + Carrot Sabzi,Sprouted Moong Salad,Buttermilk (Chaas),Besan Masala Roti (2) with Gajar (Carrot) Raita
Haryanvi,12,Ginger & Turmeric Water (1 glass),Bajre ki Khichdi (1 cup) with Curd,Apple Slices,Brown Rice (1 cup) + Masoor Dal (1 cup) + Lauki (Bottle Gourd) Sabzi,Roasted Makhana,Amla Juice,Bajra Roti (2) + Mixed Dal (1 cup)
Haryanvi,13,Warm Water with Methi Powder (1 glass),Besan Cheela (2) with Paneer filling,Handful of Walnuts,Jowar Roti (2) + Sabut Moong Dal (1 cup) + Mixed Vegetable Sabzi,Roasted Chana,Green Tea,Vegetable Dalia Khichdi (1 cup)
Haryanvi,14,Cucumber & Mint Water (1 glass),Oats Idli (2) with Sambhar,Mixed Berries (1 cup),Whole Wheat Roti (2) + Chana Dal (1 cup) + Bathua Saag,1 Orange,Buttermilk (Chaas),Whole Wheat Roti (2) + Kachri ki Sabzi
Haryanvi,15,Warm Water with Cinnamon (1 glass),Bajra Roti (2) with Sabut Moong Dal,1 Pear,Missi Roti (2) + Mix Vegetable Sabzi (1 cup),Handful of Almonds,Amla Juice,Moong Dal (1 cup) + Brown Rice (1/2 cup)
Haryanvi,16,Ginger & Turmeric Water (1 glass),Besan Cheela (2) with Onion/Tomato,1 Guava,Jowar Roti (2) + Chana Dal (1 cup) + Palak Saag (Spinach),Sprouted Moong Salad,Buttermilk (Chaas),Jowar Roti (2) + Sarson Ka Saag (Mustard Greens)
Haryanvi,17,Warm Water with Methi Powder (1 glass),Oats Porridge (1 cup) with Seeds,Apple Slices,"Bajra Roti (2) + Rajma Curry (1 cup, less oil) + Bathua Raita",Roasted Makhana,Green Tea,Besan Masala Roti (2) with Gajar (Carrot) Raita
Haryanvi,18,Cucumber & Mint Water (1 glass),Whole Wheat Roti (2) with Curd,Handful of Walnuts,Missi Roti (2) + Lobia (Black-eyed Peas) Curry + Carrot Sabzi,Roasted Chana,Buttermilk (Chaas),Bajra Roti (2) + Mixed Dal (1 cup)
Haryanvi,19,Warm Water with Cinnamon (1 glass),Bajre ki Khichdi (1 cup) with Curd,Mixed Berries (1 cup),Brown Rice (1 cup) + Masoor Dal (1 cup) + Lauki (Bottle Gourd) Sabzi,1 Orange,Amla Juice,Vegetable Dalia Khichdi (1 cup)
Haryanvi,20,Ginger & Turmeric Water (1 glass),Besan Cheela (2) with Paneer filling,1 Pear,Jowar Roti (2) + Sabut Moong Dal (1 cup) + Mixed Vegetable Sabzi,Handful of Almonds,Buttermilk (Chaas),Whole Wheat Roti (2) + Kachri ki Sabzi
Haryanvi,21,Warm Water with Methi Powder (1 glass),Oats Idli (2) with Sambhar,1 Guava,Whole Wheat Roti (2) + Chana Dal (1 cup) + Bathua Saag,Sprouted Moong Salad,Green Tea,Moong Dal (1 cup) + Brown Rice (1/2 cup)
Haryanvi,22,Cucumber & Mint Water (1 glass),Bajra Roti (2) with Sabut Moong Dal,Apple Slices,Missi Roti (2) + Mix Vegetable Sabzi (1 cup),Roasted Makhana,Amla Juice,Jowar Roti (2) + Sarson Ka Saag (Mustard Greens)
Haryanvi,23,Warm Water with Cinnamon (1 glass),Besan Cheela (2) with Onion/Tomato,Handful of Walnuts,Jowar Roti (2) + Chana Dal (1 cup) + Palak Saag (Spinach),Roasted Chana,Buttermilk (Chaas),Besan Masala Roti (2) with Gajar (Carrot) Raita
Haryanvi,24,Ginger & Turmeric Water (1 glass),Oats Porridge (1 cup) with Seeds,Mixed Berries (1 cup),"Bajra Roti (2) + Rajma Curry (1 cup, less oil) + Bathua Raita",1 Orange,Green Tea,Bajra Roti (2) + Mixed Dal (1 cup)
Haryanvi,25,Warm Water with Methi Powder (1 glass),Whole Wheat Roti (2) with Curd,1 Pear,Missi Roti (2) + Lobia (Black-eyed Peas) Curry + Carrot Sabzi,Handful of Almonds,Buttermilk (Chaas),Vegetable Dalia Khichdi (1 cup)
Haryanvi,26,Cucumber & Mint Water (1 glass),Bajre ki Khichdi (1 cup) with Curd,1 Guava,Brown Rice (1 cup) + Masoor Dal (1 cup) + Lauki (Bottle Gourd) Sabzi,Sprouted Moong Salad,Amla Juice,Whole Wheat Roti (2) + Kachri ki Sabzi
Haryanvi,27,Warm Water with Cinnamon (1 glass),Besan Cheela (2) with Paneer filling,Apple Slices,Jowar Roti (2) + Sabut Moong Dal (1 cup) + Mixed Vegetable Sabzi,Roasted Makhana,Buttermilk (Chaas),Moong Dal (1 cup) + Brown Rice (1/2 cup)
Haryanvi,28,Ginger & Turmeric Water (1 glass),Oats Idli (2) with Sambhar,Handful of Walnuts,Whole Wheat Roti (2) + Chana Dal (1 cup) + Bathua Saag,Roasted Chana,Green Tea,Jowar Roti (2) + Sarson Ka Saag (Mustard Greens)
Haryanvi,29,Warm Water with Methi Powder (1 glass),Bajra Roti (2) with Sabut Moong Dal,Mixed Berries (1 cup),Missi Roti (2) + Mix Vegetable Sabzi (1 cup),1 Orange,Amla Juice,Besan Masala Roti (2) with Gajar (Carrot) Raita
Haryanvi,30,Cucumber & Mint Water (1 glass),Besan Cheela (2) with Onion/Tomato,1 Pear,Jowar Roti (2) + Chana Dal (1 cup) + Palak Saag (Spinach),Handful of Almonds,Buttermilk (Chaas),Bajra Roti (2) + Mixed Dal (1 cup)
Himachali,1,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),1 Apple,Red Rice (1 cup) + Rajma Madra (Low-fat yogurt base) + Bathua Saag,Handful of Walnuts,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Chana Dal"
Himachali,2,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Almonds,Chana Dal (1 cup) + Whole Wheat Roti (2) + Lingri (Fern Shoots) Sabzi,Sprouted Moong Salad,Green Tea,Bajra Roti (2) + Palak Madra (Spinach in low-fat yogurt)
Himachali,3,Amla Juice (1 glass),Moong Dal Dhokla (Steamed) with Mint Chutney,1 Pear,"Brown Rice (1 cup) + Madra (Chickpeas, low-fat yogurt base) + Carrot & Peas Sabzi",Roasted Chana,Buttermilk (Chaas),Red Rice Khichdi with Mixed Vegetables
Himachali,4,Ginger & Turmeric Water (1 glass),Rajgira (Amaranth) Porridge,Mixed Berries (1 cup),Whole Wheat Roti (2) + Mushroom/Soya Bari Curry + Cucumber Salad,Roasted Makhana,Herbal Tea,Barley (Jau) Cheela (2) with Curd
Himachali,5,Warm Water with Lemon (1 glass),"Babru (Whole Wheat, 2 small, shallow fried) + Curd",1 Guava,Red Rice (1 cup) + Masoor Dal + Sarson Saag (Mustard Greens),Handful of Peanuts,Green Tea,Whole Wheat Roti (2) + Chicken/Fish Madra (low-fat yogurt base)
Himachali,6,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),Apple Slices,Jau Roti (2) + Rajma Curry (less oil) + Mixed Vegetable Sabzi,Sprouted Matki Salad,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Palak Dal"
Himachali,7,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Walnuts,Brown Rice (1 cup) + Chana Madra (Low-fat yogurt base) + Baigan Bharta (less oil),Roasted Almonds,Amla Juice,Bajra Roti (2) + Lingri (Fern Shoots) Sabzi
Himachali,8,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),1 Apple,Red Rice (1 cup) + Rajma Madra (Low-fat yogurt base) + Bathua Saag,Handful of Walnuts,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Chana Dal"
Himachali,9,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Almonds,Chana Dal (1 cup) + Whole Wheat Roti (2) + Lingri (Fern Shoots) Sabzi,Sprouted Moong Salad,Green Tea,Bajra Roti (2) + Palak Madra (Spinach in low-fat yogurt)
Himachali,10,Amla Juice (1 glass),Moong Dal Dhokla (Steamed) with Mint Chutney,1 Pear,"Brown Rice (1 cup) + Madra (Chickpeas, low-fat yogurt base) + Carrot & Peas Sabzi",Roasted Chana,Buttermilk (Chaas),Red Rice Khichdi with Mixed Vegetables
Himachali,11,Ginger & Turmeric Water (1 glass),Rajgira (Amaranth) Porridge,Mixed Berries (1 cup),Whole Wheat Roti (2) + Mushroom/Soya Bari Curry + Cucumber Salad,Roasted Makhana,Herbal Tea,Barley (Jau) Cheela (2) with Curd
Himachali,12,Warm Water with Lemon (1 glass),"Babru (Whole Wheat, 2 small, shallow fried) + Curd",1 Guava,Red Rice (1 cup) + Masoor Dal + Sarson Saag (Mustard Greens),Handful of Peanuts,Green Tea,Whole Wheat Roti (2) + Chicken/Fish Madra (low-fat yogurt base)
Himachali,13,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),Apple Slices,Jau Roti (2) + Rajma Curry (less oil) + Mixed Vegetable Sabzi,Sprouted Matki Salad,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Palak Dal"
Himachali,14,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Walnuts,Brown Rice (1 cup) + Chana Madra (Low-fat yogurt base) + Baigan Bharta (less oil),Roasted Almonds,Amla Juice,Bajra Roti (2) + Lingri (Fern Shoots) Sabzi
Himachali,15,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),1 Apple,Red Rice (1 cup) + Rajma Madra (Low-fat yogurt base) + Bathua Saag,Handful of Walnuts,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Chana Dal"
Himachali,16,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Almonds,Chana Dal (1 cup) + Whole Wheat Roti (2) + Lingri (Fern Shoots) Sabzi,Sprouted Moong Salad,Green Tea,Bajra Roti (2) + Palak Madra (Spinach in low-fat yogurt)
Himachali,17,Amla Juice (1 glass),Moong Dal Dhokla (Steamed) with Mint Chutney,1 Pear,"Brown Rice (1 cup) + Madra (Chickpeas, low-fat yogurt base) + Carrot & Peas Sabzi",Roasted Chana,Buttermilk (Chaas),Red Rice Khichdi with Mixed Vegetables
Himachali,18,Ginger & Turmeric Water (1 glass),Rajgira (Amaranth) Porridge,Mixed Berries (1 cup),Whole Wheat Roti (2) + Mushroom/Soya Bari Curry + Cucumber Salad,Roasted Makhana,Herbal Tea,Barley (Jau) Cheela (2) with Curd
Himachali,19,Warm Water with Lemon (1 glass),"Babru (Whole Wheat, 2 small, shallow fried) + Curd",1 Guava,Red Rice (1 cup) + Masoor Dal + Sarson Saag (Mustard Greens),Handful of Peanuts,Green Tea,Whole Wheat Roti (2) + Chicken/Fish Madra (low-fat yogurt base)
Himachali,20,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),Apple Slices,Jau Roti (2) + Rajma Curry (less oil) + Mixed Vegetable Sabzi,Sprouted Matki Salad,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Palak Dal"
Himachali,21,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Walnuts,Brown Rice (1 cup) + Chana Madra (Low-fat yogurt base) + Baigan Bharta (less oil),Roasted Almonds,Amla Juice,Bajra Roti (2) + Lingri (Fern Shoots) Sabzi
Himachali,22,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),1 Apple,Red Rice (1 cup) + Rajma Madra (Low-fat yogurt base) + Bathua Saag,Handful of Walnuts,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Chana Dal"
Himachali,23,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Almonds,Chana Dal (1 cup) + Whole Wheat Roti (2) + Lingri (Fern Shoots) Sabzi,Sprouted Moong Salad,Green Tea,Bajra Roti (2) + Palak Madra (Spinach in low-fat yogurt)
Himachali,24,Amla Juice (1 glass),Moong Dal Dhokla (Steamed) with Mint Chutney,1 Pear,"Brown Rice (1 cup) + Madra (Chickpeas, low-fat yogurt base) + Carrot & Peas Sabzi",Roasted Chana,Buttermilk (Chaas),Red Rice Khichdi with Mixed Vegetables
Himachali,25,Ginger & Turmeric Water (1 glass),Rajgira (Amaranth) Porridge,Mixed Berries (1 cup),Whole Wheat Roti (2) + Mushroom/Soya Bari Curry + Cucumber Salad,Roasted Makhana,Herbal Tea,Barley (Jau) Cheela (2) with Curd
Himachali,26,Warm Water with Lemon (1 glass),"Babru (Whole Wheat, 2 small, shallow fried) + Curd",1 Guava,Red Rice (1 cup) + Masoor Dal + Sarson Saag (Mustard Greens),Handful of Peanuts,Green Tea,Whole Wheat Roti (2) + Chicken/Fish Madra (low-fat yogurt base)
Himachali,27,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),Apple Slices,Jau Roti (2) + Rajma Curry (less oil) + Mixed Vegetable Sabzi,Sprouted Matki Salad,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Palak Dal"
Himachali,28,Cinnamon Water (1 glass),Atta (Whole Wheat) Cheela (2) with Veggies,Handful of Walnuts,Brown Rice (1 cup) + Chana Madra (Low-fat yogurt base) + Baigan Bharta (less oil),Roasted Almonds,Amla Juice,Bajra Roti (2) + Lingri (Fern Shoots) Sabzi
Himachali,29,Fenugreek Water (1 glass),Barley (Jau) Porridge (Unsweetened),1 Apple,Red Rice (1 cup) + Rajma Madra (Low-fat yogurt base) + Bathua Saag,Handful of Walnuts,Buttermilk (Chaas),"Whole Wheat Siddu (2 small pieces, steamed) + Chana Dal"
